geolocation_zip_code_prefix,geolocation_city,geolocation_state,geolocation_id
38710,major porto,MG,5cd7a8c31ee9dbcf9ec6326462eb3339faa12870cd3aaffa0b1cf5e2d398b957
38749,sao benedito,MG,286ac048a96f422a0303421707524c7fda29004c4d7ef917f68a4ae069930f5b
39103,guinda,MG,b62aab2a50f71500f32ed4fb921cad87f1dd3de611bf908d1cc8854a22efcdef
41098,salvador,BA,74e0b1674a2dbd21d4f7518789c1d93531467216431e1162727e38096ece8c2a
41347,salvador,BA,cc43a296681c836116daff3eae5279300d240c71b0cadba9384eb70db3a5e507
42716,lauro de freitas,BA,293e671696e6dc58f449225d9d396970a9c69c78b81dd0b400baeb014d530388
42843,jaua,BA,8ea71f4afc8cc564c1c5927b124f27f76537a7eaecadd56d88eac5e65d84ae9c
43870,jacuipe,BA,e132270db9a50a059503a2b88e096a426f6d1fc794f2af12804644af4fd7c3a6
44135,humildes,BA,ce6f05f478e1d654cb260dfeef0313f3ec4c0880c60cbec974aacbb98113e0f8
45534,taboquinhas,BA,afc63176b11f10a513217e2705b72c07be2d594aeeaa45fd5e492f298b6397ff
48504,aribice,BA,707c5c43e13b61b857cfb8c894a6ae6d07eacb40fe8592ba8b093d3af3dd50b6
48793,caldas do jorro,BA,d23a6177c595c3df709e11a2fa0c79dd1c8a3749ffa645ec9d1464b838606c21
48967,nucleo residencial pilar,BA,12b4454f342489c92e518040cb38d4f54ba300cd2e8c87fe56ba62244b08fb36
49870,itabi,SE,e9f92a4f92382cba5bba132b57f8e80cbbad2bb7b0473f4c3e45c191368904ac
55027,caruaru,PE,61202f094aec7b46c1f844a4b9239f4abbab3933415c5d7823e10c6343d06102
55863,siriji,PE,b2c9219371a8ee01d3c295503974d4a43e0e2b8a4eeedaf6c8f9c32517240b58
56327,petrolina,PE,ccda27b70e1ab990c926c5b96b9493843a069b5e560739b624fa4086028bfb6d
56485,tacaratu,PE,1b7dd093578e8635d5669dacde19c91ff6dea3c4acc0b009dce21224600fe621
57254,luziapolis,AL,22eb1bf5fce21b20e680d13d5211a0996789cb918573b966868d51b47c9f87dd
58286,pitanga de estrada,PB,96b8a101f77ee26baed9f4d6ddb2fb0a99a8467e7be11f46580fabb300ad91fa
58734,passagem,PB,eb0669f552895ead5a95c6f7554088e3031912532cb166f53202b821d7dcbdd6
59299,poco de pedra,RN,d568966b326b0c7c881cc8f11c687d159130f9a937eb013c7b328374cbf027fe
59547,pedra preta,RN,5142a07c47e9623a1ca926d6825618b56348369c0545dbdc3b687130d84b3690
61906,maracanau,CE,e16e324efaba1ac6ae8b58510918fe79b72df0fe615957f47f23e870252d1262
62625,missi,CE,076c7e04bf6750f3704d2cd1de6b192b736b1d64fb8351c1dc2e87ee5fd06596
62898,dourado,CE,c5209677e68e2db1918ad5ed16791569b0f0c1e7816cce8d1240e5c8d4488d23
64047,teresina,PI,d90b10f0d1beff451fb5ddca01c185d6994d033ea06bc36f67f2f845c42f8fc5
64095,teresina,PI,febd014d3658e5c60f7265daf5f83764e686b63bad4602e8293570f6156c1701
64605,picos,PI,9d773f4f05848d3967ada96118a6ec85a735b6401caa46c5bf0c15155b982427
65137,maioba,MA,a09a147ea18e1590098d531b214a8fa3f64b6738dcf8e1ea5982b4e7b591b22b
65830,sambaiba,MA,b3d9de7e2535cd55742015345837a11919ee507aebd84d7cb68fe04936b52170
67105,ananindeua,PA,97a46ff80e839d8763f4ab96186ea568fedc3f5e6273eac35bc02a00c458393a
68511,maraba,PA,ddd7fabb507a234ab175cd57c24bf9cb17dd5a6c652eef7dcf67c403310ee25d
68514,morada nova,PA,039a71182bab8b65c89d3b4e93ba336d1020fccbf0e3b01a0dc9bc934675e3d8
68629,paragominas,PA,0dce358a790f0a212e760ac30e4f1d082d0902056779b7dfc2f14320ee5bf3e2
70316,brasilia,DF,b760e9662fbb0083eb915da2268431825cc910ce91434c55dc628bfc8ecb181a
70324,brasilia,DF,d767ee6a563210e5e6a365fa0802c4cc36ae48fa7bbc27df189c6dfe64fe0661
70333,brasilia,DF,662fa0cba9ad233b157f8e1b938e38a4c2b7acc5de7a2690e466523526e6b58e
70686,brasilia,DF,f28a9b4711444150e1b046ad8357e0e5d763b25888fb36b46ce47d962d82d6df
70701,brasilia,DF,e254721b929fbccf87e18c728c2aa085e41492012b93e1c366d4916e2d85eb6e
70702,brasilia,DF,20b6948efedde6bfd23c1ac3a74c0e3fa04a3c5f73c0a32e5c4ed3c3328c72dd
70716,brasilia,DF,91ea26dfea6f2ac5cb75cb2f002db855835e629c347a15a43bcb89d925945daf
70830,brasilia,DF,e997861baf7df2624e2a9fde84d9ece4e5acbb7b0aeea8e60b9f012db6fb54e5
71090,brasilia,DF,733f68848339d67f69767336f38d210db4a6878ee891c5c0915b196bef39c957
71208,brasilia,DF,072e08b0a744d9b1152d1e286b0f8f381aac43f1e3d9abaaf1886e03c9c57227
71261,brasilia,DF,47aee3fb3e24a026a67b813e0d2ae4a2229be9d49e48a4a94f13bdb5c463cc72
71539,brasilia,DF,31bd7cb9adf76a14cf7689adefb69b83c9f17665ebbf1eea8a15417cb370345e
71551,brasilia,DF,a687e329570e016a62370fc970308808a9947d639d05c795d75b5de95861fa7c
71574,brasilia,DF,f6382d17a8f29c9273daa9f445fe043d2bbef730edc74e9da4009f7428b70f67
71590,brasilia,DF,9430599deac4ab5a5cfc3ffbadc24387d3867da74dfeb9ba994baaaa655f5d99
71591,brasilia,DF,cb54b51d8e05576431ac443747375166eeae1a96a42a9b924ec34b9b8d554a5b
71593,brasilia,DF,1580d1756447956d83985dbd1e16713f26d65b08a3f4683fcae6dfbd6f090507
71676,brasilia,DF,ce4021851b21f68840df3e4e393d579860272662f108e3478bc5784566329af0
71698,brasilia,DF,f5d17833527fcae4ef5be61f87fdc8ce3db7ffc478827e3229d767447ec7d0e8
71810,brasilia,DF,521f0c41169030e3b1ca56e849cd125ed4472e3f2927ecac0c9d051a768d8e68
71884,brasilia,DF,7971b4751a523003d515cafe6b6a392060392be3c1a3e8d75ea17c47f30dbeee
71905,brasilia,DF,adf1ff98b4841682d2973ff836ce3463193e65c2332a404b79148821a3d6c507
71919,brasilia,DF,55f42ba96a52348e2a59f9022d78066c3f6ee67d004ed5d148c9648ad6f51688
71953,brasilia,DF,80a1e5ca8b0b23ebee9163d237d0f8cfa7b19cedb24a0f798f761014dc9194fe
71971,brasilia,DF,59f5434d2cbf83892e6c22be1737d0a2de66cbecc632c9c1ab34298cf40137db
71975,brasilia,DF,ca895f384ed9bd12c6736b2c45b38be416c876e8b8197cb42aee4fdd2babdc8e
71976,brasilia,DF,6dc868127bdfcc605db89146b3ad0f8f59966c959dd69547656f315599c70a32
71993,brasilia,DF,c1681120f3ee2d34de568cb9edab204747b16b7378ea66c705bd414c251987d1
71995,brasilia,DF,2ec12cdc6898e9ac230602d0af06a3a563783627d18dcdbe14961c04ebd31711
71996,brasilia,DF,0d654bd33701722f2f9c7ff147e9128d98d0bfca36d2ad3d792a297446b449a7
72002,brasilia,DF,4e568f66990c08f1f151a82faea96798c3c9062de962ff010518970f1bdfcc88
72005,brasilia,DF,7d28204c1adb7e3d6d10bf365d56027684cf5dbab597eeca4040ddf77ac5c51f
72007,brasilia,DF,b694481b854517c8b43ef96ded0b5dfbfefbecdf18025e38f28f1c5dd1eacf1e
72017,brasilia,DF,b64fb4b5e6813308b1745e9888109c3014096c3f8f33d6e7c2164e0db1463f8a
72023,brasilia,DF,217617cec46867339afb0a37aa1c97e7e2b513a81324eff28929b75283fb198d
72237,brasilia,DF,fd3ad1fe4ac42a17e0df271170b02aa11a1b5bd32b19ff97b3929feb8cdaf687
72238,brasilia,DF,795e597b8a20497e0ea1628ef8aabcf985aa38a67f57132cb85dd964e887efca
72242,brasilia,DF,a1d05b0df1a85c24d87f7083df40a745ccbd6048714647b41b184edf9f07ae2b
72243,brasilia,DF,298ff8061aee7dad04e20a86c24f768cc057073dd7b85e5ad7b51fd42523d5d7
72268,brasilia,DF,ef4b285ce734097606155f4a4aad45e951d2a3b0be3dd304edbff95d077f06ff
72280,brasilia,DF,202496114db5808647bd39cd4d8b1926b03df3f6b847f0c8ac6ad77174405392
72300,brasilia,DF,4a746366fb4bf72686dea28f43b165568359e193bd19e8b9ed131fd72b4500d1
72338,brasilia,DF,273680e896adad64a6dab1ca8864e2ded23186b088b32578ae0f8fba3657724a
72341,brasilia,DF,21c338d8c97fbdff9df789d97d112cb48db6c0e36da24da8e21982b5980cfaa5
72427,brasilia,DF,ec5e815a321088b7fb418249c113a8e198b724ce25cff8e4c9638054f9cede2d
72440,brasilia,DF,10132b0486bf50a629ce6b88b7b8ebefcf7f260b35a926c460e28e246fbff8c3
72455,brasilia,DF,0ba55226285041bacc91b4379a0366d05d7e67a4ac14236745d35bea90077501
72457,brasilia,DF,078767893c005c8a850c55a4978326c0fad6c08fee447f87af157da38e19393a
72465,brasilia,DF,c6e0180d4523ee085daed9cba8442f5d5e22ec880b731b80c125fb81ca90cb8c
72535,brasilia,DF,8944e7c4356e5eb881b135e6f3f2a70f4837df7fa90750af5de2dabb94ff577a
72536,brasilia,DF,91cca9eeb70f0e16f50413f285f2372a14201d46f6ee18b8d47a1f1c066f33c0
72549,brasilia,DF,961776415c9959f99cfd8f72de47bdac8ad6e1e3f3d1cfcad641eb7f1507f928
72583,brasilia,DF,97700875f40dac3c4db892b408204443d8ac9be06aa607cfc6aac5dc2d51b8b3
72587,brasilia,DF,e6621bd48f382de298e7c1686b33f177ce7dc37646d92142c3090122f08a19ce
72595,brasilia,DF,7304946599b690994c6a5e81561a3d08d4bb487224f2d4d8618af797013653e4
72596,brasilia,DF,89762f5f9269bae21b9002a7453d3eff826b792830c5260b66dcdbcfbb1213f3
72669,brasilia,DF,30aa9d918d494ad27dab283b4f0452b5b3610c02f26bfb9b8362eb20f2b46477
72760,brasilia,DF,6e2d499a5c04cfa5fb26358476bd88ff53b842475f968cd2bff1c205693e6569
72821,luziania,GO,9dfc523400d3d7c217fe883783275adec80c11d3d4ccdf8dff9a924e9e88fb49
72836,luziania,GO,a1e5b18e181abd3df9c8b9e21415a6b3781e76332aa13868c71878f8b6ff9db3
72863,novo gama,GO,0171d61548876f210ea76ec45c0e49bdefc0eecf68a63d71d8b760c39b64f239
72867,novo gama,GO,edbccbb2294bcb15537850ee32abca080a2cba2dffef623b565766a56ee08e10
72904,santo antonio do descoberto,GO,713e36c38c7fe8d30d604afa9035b6e2fdf3c7b3e0f7fd0165a4115a28c67638
73081,brasilia,DF,c9fb9c1bd46b5b370261cc88547bcd8010f240f8b09a1e2a7bc5565297fd63d0
73082,brasilia,DF,4c796555f58b8dd8b4d61f6e53ba8f41c3cac43e9f30383d94b5283f93bc7b20
73083,brasilia,DF,d49a3107f88ac40f53a04d572f8ddd393ec6051a4731dc4388630fe28170da0a
73088,brasilia,DF,6c6c78affb52a8e1b3e4c3c0042a24c3a24b6bee333a91a839f1544779f34e37
73090,brasilia,DF,0c0a14905a68113b47573f3d728b70fce9c096044baa230d2b7146989b52220f
73091,brasilia,DF,4aebce4cf2fea311bd45edcc47e88448c8db389923144728bbb61f79dc79aec7
73093,brasilia,DF,f46d5cab3ba67f70b9da4f48a0dee00fa4bc1caba56e044845df6c26662ea927
73251,brasilia,DF,0972748e76dac24c64619bd3de4eeeb8d14f63c1de57352d60e70946134b6986
73255,brasilia,DF,4c251e719d68a78b1ad771c6e21785db8a831a78dd0c5b9cec754683c8f7036c
73272,brasilia,DF,743dd52b5d6b50db8a53a159425942504be92496a75baa08f1d9f6ad8fbfe659
73310,brasilia,DF,366b46c423e91429a03b0f391625ca688dabd2f5f1e118fa51f37d87b8cfb413
73369,brasilia,DF,11ff15680ee39beb115a166bf58c7f89d9da876a96b1daa15afa03610a87c220
73391,brasilia,DF,9e84f99efabf839a69ff145c2e75c66ae32939c33d59c3e2be99d26675f995ab
73401,brasilia,DF,2a8013e5a7d85d20549ce47d4426e78b8be70b72374985317544619e700af3d2
73402,brasilia,DF,b05837ec74865e4c7e60a01b4c6a880994a367283233d34c8593542d8482c314
74476,goiania,GO,c41355b56b3d31c2c172b556cf2f3597d1a39b83b5d0d6ce73629b4ac1412b9a
75257,senador canedo,GO,6c05c7220cbc187887916556dc6e6781528f4bd02dba351046b1db6ad5991cc9
75784,domiciano ribeiro,GO,1a3b69911f704513d7cb3a777e7db13492fc61a1b335fda3eab020301c2ff2cd
76897,jaru,RO,5c1f0b37f1565d45c864444abc696efeb5e5061c3ea0c8fa0758dd9c684dffcb
76968,cacoal,RO,e0565f5c23450ba050016e7846825772df5b3dc5ddb0d0a126c01997b0396081
77404,gurupi,TO,fd270815de98f044ee5e4d81b664b3802f5a53d146bee4bc8c7b5baec75a7319
78554,sinop,MT,b3595046ece1e34bbacb51114462b3560d9ade686bf47ae5bec061bd2165aa07
83210,paranagua,PR,8c643316538fa5ffddfe56d685243fce1a58b2f7294aff489136959196d65940
83843,doce grande,PR,adebbe7fc8650430d8cb0cfdc0544e21e9322eeb091ae7a828712770f2ed3322
84623,santana,PR,381f8f8856854b6aa6cd4b1094feb608aedea15f9625b53b2820e56e2c41874f
85118,palmeirinha,PR,3628ee46e106ba83b3abd7306fae06221d43a43776a6b5884d89a09eb1895703
85138,colonia jordaozinho,PR,c67b1bdf74d2819f9f27ed1d7baf87ae96cc8bf1994fa3be24abf82f8c21a925
85894,sao clemente,PR,ab7eaef3eae053f59e661605330bfb304c453d3c933b374a2d7885692ca944a9
85958,perola independente,PR,157dc8b4f8e752eb6453dba2aef1bc655685f4b6e2789500dd7f6f7ed2ff98de
86135,santa margarida,PR,ecf68490bf06741ab4a5c176a193c4f00b1fceffd46de05c8a98bf30c0e133ef
86996,sao miguel do cambui,PR,d4cad1ba3ef11d3aa717cecdb1420704711e87b7b3b6ebe31c21a70077d67df3
87323,alto sao joao,PR,a684aab310a4a5e0dd32d2b66df206a235a014631420c735ced7521b9423c4ff
87511,umuarama,PR,3d162cd3cac9c02b48ee46d35fadba6b70dd83ef62c6465b1e749989ee05ff33
93602,estancia velha,RS,70371cbc51be8b5b54f96ec1474be934dbf35293bdb201cfa7ce76fb4b7e3c24
94370,ipiranga,RS,43da57dadd3ed4cfa8db77ba09a85dd4fc9defd7e9c6a2111b2b118a3ffb484a
95572,mampituba,RS,3ceb86c7ebe771d77339bbad9e211221a4060e13c5dcb1f4641e9baadcd60b14
95853,polo petroquimico de triunfo,RS,8d226627bfa40fa6b04ea1b723bd790718485d50156dc8468cbaa329c2fe4660
1207,sao paulo sp,SP,4a1f2125419ba270633f6107e58265956dad9a8be9681f2ffaec52ed3b4b5346
2051,sao pauo,SP,18ade55a2567dd4f9651e10c532b23c310a2d9b755fecb4645e631c6dfc31d2f
2285,sao paulo,SP,324c246f1c3dbe76006f97b78d565e1267b88cd063c38fcfaf900bcdaec9fe16
3194,sao paulo,SP,cc74ed3730abb1daf4528b08b1a51add2d1a4fcaddff72efda1bd438eb166bc0
3363,sp / sp,SP,09eda466c6f84566a19a92c8fe7ea820a2b908525450eec300de6abf126cf487
3407,sao paulo / sao paulo,SP,d7e02742fd26b12880ca800a9f38f2902efec960a636648ebb02c128fd966848
3581,sao paulop,SP,249805cc5163375d1415a95e0ad00892d2749928c63a3fdf15b632b8d639da34
4007,sao paulo - sp,SP,4c79b425d50b60dd8b62715b2e50fdfdfa1689054ffbea212cc404fe97e61b5b
4130,sao paulo - sp,SP,a0b7f7c36c16d12b7e01bf622983dee666bb0e7b2a7512f811b09c7662f5d7a2
4557,são paulo,SP,1cee22675dfcdb251e06171a13c24ae1cffc78840bf5d7fc3376686cea5ec206
4776,sp,SP,c1db8bdbb71b0d188f2938ca22b6bc8d2b694b39c41bb82e6ec3e65eac38d737
5141,pirituba,SP,5568c7698ece5b9288c41011c6110fb2ac08a6e50e30636917be7120d6072ae9
5141,sp,SP,5f8a03aa67969330edfe545211ba320c7c96fc7cd179b7d133c193887ee4cec8
5303,sao  paulo,SP,d1437b40bd2b17f3aa21cd95cbe17fd271018a788ac281c347bcaf943abe1fff
5353,sao paulo - sp,SP,7c3035ea71491aca93d87253eabf025ad9d543bb18f7376e8b38c1cd3c006bb3
6280,sao paulo,SP,95e207c7fd0748163cbea21f5aeed25cdcde869f5cd7c31f2b05a95e6dbf7f0f
6311,carapicuiba / sao paulo,SP,7ebb874e0f1b409b32d234c4f667b60811a91f59b419a7f76594c1610f2ad622
6760,sao paulo,SP,e91c880a03ee7f076db0e9e495bfd254e931783e5a83e29bcffeab8664b8a04e
6764,tabao da serra,SP,e9925c2483c2b732b32500fc33d1fac454e1d07f0f2d97ffea4d9ef119ffc70d
7077,garulhos,SP,e834d4820087316abd855e675cfe448e19373e5548b186c5ee30dd0b52ad5d0e
7411,sao paulo,SP,d5aeb1a1593a9527686906fc3ad911ec26fbfcca58f1defbd4c8aca6c82f1b6a
8050,sao paluo,SP,aa2ba4fe382b3feae86dcfaf0228da58ade6197b62c04aa553799d53226a15ba
8517,ferraz de  vasconcelos,SP,980efbe538d30c57879022d4b29a803dee247c6a31df85317cb00834df88fa1f
8710,mogi das cruses,SP,bfe8281a03f7613211f08b499e980b2a8a86c09c57217a297e334b091a85ca3e
8717,mogi das cruzes / sp,SP,f829d54e450384a908db845c895737afd2afff47926249a243bebcca0431c59d
9190,sando andre,SP,3c9b9c26fc01006f991e356540b3387807f2c6deb61850175262f2da6aa91af9
9230,santo andre/sao paulo,SP,c28ed86b8533feb386c1c6e63ddb6658bd7a8cc8109628bea883cf6c24019a1f
9380,maua/sao paulo,SP,e2e6fc75e6db3f9d8c72caccd4aaa3e1cc7db4923f04f37e3af4d2ab00a1b01b
9560,sao paulo,SP,a24c1c96c5156c2bd516e5c889a564afd38c9439b8cd12e72c9a80b84250a2a1
9687,ao bernardo do campo,SP,0cf8496b25e73a07bd90b83c8ecca30579a6d8742873111513e8593d4a1b8a0a
9721,sao bernardo do capo,SP,223ab00ab6a44b9c7d6eaddd2adba30473d2ffcb4d6836e54261f7ed8fdc930b
9726,sbc/sp,SP,b53a9357ec732bff04c0de8dabb71ff4df07107f608572d7b26f47fd09b5e429
9861,sbc,SP,00a3668ddff4f7070e0d0753541bafd4bb8b6cbb03f9fefc24f744dedb72925c
9911,sao paulo,SP,24a46eaf8e2399356c578c5636c626fb16d2964a882fd95b0d2857b21a04c990
11450,vicente de carvalho,SP,676e918ae5ee18584a4289b9628b3b52048031c404022ae42fd748e72a838b2c
12306,jacarei / sao paulo,SP,a0b3907f8d78779783cdd1f18ea33b85980eb8b9aaa8072a49f9f87fbd236b17
12401,sao paulo,SP,8ff1e457c2fa4e1f12433b25e64fac9bab5239d8a2b0afad091481f36d9056da
12903,sp,SP,91812ccd93b7a0a2fbc073996ff3de2b117e962c3a679b8ca1b6d862a4e7f78c
13420,sao paulo,SP,1710bd45c4fc454d6729019dd229c3bde8be19386d55e246be2a466982acea0d
13450,santa barbara d´oeste,SP,efd8baffe250784acb0a8a157006aaeae44a6617bea6147bb72fde86fce8da21
13600,sao paulo,SP,c07ea6fbf63347f19846438a7472def51639434979e13febcf062fd4ad252736
13660,portoferreira,SP,90a8e33a6f577a0d73f8bf2b6f59598a27325a285c6401fdc795ad59c3e0c655
13720,scao jose do rio pardo,SP,66af024f38e4bf790920e5a05f22ab185130b4ce0deb6c98a5fad2a5b90ca81e
13790,sao sebastiao da grama/sp,SP,b50a0681f688901fe2a19b1b6be82716222a82a8fdb6eb46d0d867e8a0ce7061
14015,sao paulo,SP,252c299a8e95a5aa57aae802b94ff24a34908b5623091c7eb6a0b51470f5927f
14027,ribeirao pretp,SP,9c4bb40e1774f54803c2b85e803c0f0dc8f00498bbc4af1ea43b8684015a66b0
14078,robeirao preto,SP,7cbc1e94128ad221902a6ace52d1a2d8a3523323d33582b95b8b65a02cf57145
14079,ribeirao preto / sao paulo,SP,9a389991bd013be175cb64c3136e36bae8d6316b6e5ff1e99f742004865e93f7
14085,riberao preto,SP,58dcef3f6828629794789705b00958a8b00dde36d986607745aa2df44dc5853a
15014,s jose do rio preto,SP,5ede02c31b2a8c8e8c3de8d0523b466a3b155e38351236a71a2969ce33111420
15051,sao jose do rio pret,SP,e7e8e31a49bf03a861545e5d489f82ea9c95bcfd24030ea371086a8a15d03d6b
15350,auriflama/sp,SP,e3cc27256a4b50d62ebb7ac3e95d3a82137fc2c5fe0ef8d8ec82930e246b44e3
16021,sp,SP,ccb932c4d5de7a8be037baf65edf322463c99aa7d8c9127c9a9a5b8dfa5428dd
17606,sao paulo,SP,6105e4465674186c701c67b6332e6604f521f1da53838b34effa0a21b866105e
18500,tatui,SP,8031689df1472228853b84e110f31f98cd0654e43e8ea074026f39adba85a993
19400,sao paulo,SP,5b5767663c3ed21f24a9ff44827086857f2545218c40954fba7bf403e72224c3
20081,rio de janeiro / rio de janeiro,RJ,07a5559a26069a9f2279552485ebbc894c4e863279e66a7951888a4eeb8c80f4
21210,rio de janeiro,RN,a076ac55be1c8c6688f4c4ace9be28521ed72680399f645ff3cdb40ff3dfa1ba
21320,rio de janeiro,SP,a521ebf64705330e8f579d1ec10027dc8fecdb0338bb97213c5bc86ff4bcdd84
22050,rio de janeiro \rio de janeiro,RJ,645b7b2fadf47144b88e4a4800a14d72a377c85368ece1012d25d1bbaa9ce8dc
22783,rio de janeiro,SP,4cf8a97162fddad1577bc1fa1a823f9338ee489cced486050e401640f0804af3
22790,04482255,RJ,7a93be227e2152ae0b532a932d4cedd05557c90eefbb5fe0ea07f66b15dc9611
22793,"rio de janeiro, rio de janeiro, brasil",RJ,2018674046828a343762fda1cd9b976eb81da1509b6a24b38ad277bb0aad5250
23943,angra dos reis rj,RJ,7364cd9ceb11c791c06cbfc04ef3a3c764ff7d08e3060ca8e542cf8d883443e6
24855,rio de janeiro,RJ,94298103872bec4d6de95f330372eb33dcb035795b5ea530f84e143a31508432
25900,rio de janeiro,RJ,47baf707bb9f8069d1d760656a53bec076651e45ceee2ff75685307fdb5f22ed
26051,rio de janeiro,RJ,795fee787626a5392bb7434367b3dfed9b1ae1c5943e8b27da556237a917dd34
27277,volta redonda,SP,1aef263e4c40db24d3641c564cd56349651dd2fa6057c3999848d1d0dedc4f11
28035,rio de janeiro,RJ,e4189fa6f5d1b4d48fe006ecb5441c12dd7885e55a5e980365e8b7d42c1b2175
28810,rio bonito,SP,44137ccc6f6b8bcb29ba43554e350adf6dfc10b2a817c963dc5e2530870ebe95
29101,vila velha,SP,b769c952177808967f0547a1b5c3cedc35aef5ecdc6715fdc8741079b40eb259
29142,cariacica / es,ES,8baeb5a30f39726d759a4c7c63d3fa5da5bdeda5e597b27068e417e8b8c57883
31160,belo horizonte,SP,120d2b2a407cb1ae436b9d49e2115769c1012237d1f9ed712f424a43e738aed2
31255,belo horizont,MG,1ad63e362e325c98150503bad2d8a6a073dc6947ed2713bb908d610ea0f21f61
31340,contagem,MG,0a71f9ebd4b008f52b1525b0ba2cd93d41922994645a6998654b5d79648452b6
31570,belo horizonte,SP,8fd442e8a834d39a7867d966cdf54eb7f4f0c4597ac967eedf817b4904393bc1
35660,centro,MG,bd10a128823bcd193e2f2b30c9d1d3b589f6ae0f708f3c5467e63b3e0a4937a1
